Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
A00,1875.39,0.166435,1.61115
A01,2274.98,0.460114,-0.7205
A02,2809.14,-0.693189,0.443057
A03,2427.91,-0.10395,0.26269
A04,3241.8,-0.917514,0.121774
A05,3372.92,-1.32018,0.168438
A06,2938.81,-0.619219,0.0851851
A07,2231.61,0.114442,0.573974
A08,2699.86,-0.739903,1.16037
A09,4128.11,-2.09522,0.482236
A10,2902.5,-0.980379,0.657689
A11,2672.48,-0.560078,0.591662
A12,2814.57,-0.607692,-0.23398
A13,3465.73,-1.03135,-0.49786
A14,4231.4,-1.558,-1.48603
A15,3690.76,-2.0893,0.851706
A16,2971.16,-1.149,1.26577
A17,1698.96,0.624934,1.39441
A18,2910.08,-0.468398,-0.0972177
A19,2293.86,0.468877,-0.627221
A20,2688.97,-0.451505,0.498673
A21,1266.59,1.68813,0.226057
A22,1324.48,1.51264,0.351339
A23,2575.1,-0.253527,0.501846
A24,2014.52,-0.0257929,1.48242
A25,2267.22,0.0319898,0.887269
A26,2637.04,-0.108394,-0.351506
A27,1351.61,1.29509,0.921722
A28,3210.95,-0.807257,-0.572549
A29,3460.61,-0.849003,-1.12583
A30,2337.52,0.195841,-0.159883
A31,2652.23,-0.413975,0.34177
A32,2630.67,-0.113405,-0.282731
A33,2257.96,0.0702561,0.641008
A34,3217.89,-2.16166,2.25796
A35,2518.58,-0.12528,-0.022795
A36,3667.2,-1.29066,-1.16416
A37,1834.25,0.179528,1.74949
A38,3715.68,-1.52728,0.106504
A39,1825.48,0.559123,0.877243
A40,2989.11,-0.624431,-0.399688
A41,3246.94,-0.847356,-0.561995
A42,4051.16,-1.73394,-0.546491
A43,3144.67,-1.22743,0.803143
A44,2467.03,0.39624,-1.34702
A45,1325.52,1.43561,0.757246
A46,4010.12,-2.31573,1.11001
A47,2978.79,-0.712562,0.276151
A48,3123.34,-0.390873,-1.29415
A49,2995.9,-0.958442,0.281344
A50,3656.71,-0.826693,-1.61355
A51,1763.72,0.538247,1.24762
A52,3287.61,-0.914162,-0.523117
A53,2982.72,-0.559542,-0.350548
A54,2968.55,-0.8425,0.512628
A55,2706.06,-0.249218,-0.546643
